number,pokemon_name,main_type,secondary_type,region,attack,defense,capture_rate,resistance,weakness,poss_attacks
087,Dewgong,Water,Ice,Kanto,139,177,20%,"{'62.5%': ['Water'], '39%': ['Ice']}","{'160%': ['Electric', 'Fighting', 'Grass', 'Rock']}","['Frost Breath', 'Iron Tail', 'Ice Shard', 'Aurora Beam', 'Blizzard', 'Water Pulse', 'Aqua Jet', 'Icy Wind']"
088,Grimer,Poison,,Kanto,135,90,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}","['Mud-Slap', 'Poison Jab', 'Acid', 'Mud Bomb', 'Sludge', 'Sludge Bomb', 'Bite', 'Poison Jab', 'Crunch', 'Gunk Shot', 'Sludge Bomb']"
089,Muk,Poison,,Kanto,190,172,20%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}","['Infestation', 'Poison Jab', 'Lick', 'Acid', 'Acid Spray', 'Dark Pulse', 'Gunk Shot', 'Sludge Wave', 'Thunder Punch', 'Bite', 'Poison Jab', 'Snarl', 'Acid Spray', 'Dark Pulse', 'Gunk Shot', 'Sludge Wave']"
090,Shellder,Water,,Kanto,116,134,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Ice Shard', 'Tackle', 'Bubble Beam', 'Icy Wind', 'Water Pulse']"
091,Cloyster,Water,Ice,Kanto,186,256,20%,"{'62.5%': ['Water'], '39%': ['Ice']}","{'160%': ['Electric', 'Fighting', 'Grass', 'Rock']}","['Frost Breath', 'Ice Shard', 'Aurora Beam', 'Avalanche', 'Hydro Pump', 'Icy Wind', 'Blizzard']"
092,Gastly,Ghost,Poison,Kanto,186,67,40%,"{'62.5%': ['Fairy', 'Grass'], '39%': ['Bug', 'Normal', 'Poison'], '24%': ['Fighting']}","{'160%': ['Dark', 'Ghost', 'Ground', 'Psychic']}","['Astonish', 'Lick', 'Sucker Punch', 'Dark Pulse', 'Night Shade', 'Sludge Bomb', 'Ominous Wind']"
093,Haunter,Ghost,Poison,Kanto,223,107,20%,"{'62.5%': ['Fairy', 'Grass'], '39%': ['Bug', 'Normal', 'Poison'], '24%': ['Fighting']}","{'160%': ['Dark', 'Ghost', 'Ground', 'Psychic']}","['Astonish', 'Shadow Claw', 'Lick', 'Dark Pulse', 'Shadow Ball', 'Shadow Punch', 'Sludge Bomb']"
094,Gengar,Ghost,Poison,Kanto,261,149,10%,"{'62.5%': ['Fairy', 'Grass'], '39%': ['Bug', 'Normal', 'Poison'], '24%': ['Fighting']}","{'160%': ['Dark', 'Ghost', 'Ground', 'Psychic']}","['Hex', 'Shadow Claw', 'Sucker Punch', 'Lick', 'Focus Blast', 'Shadow Ball', 'Sludge Bomb', 'Dark Pulse', 'Psychic', 'Shadow Punch', 'Sludge Wave']"
095,Onix,Rock,Ground,Kanto,85,232,20%,"{'62.5%': ['Fire', 'Flying', 'Normal', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Fighting', 'Ground', 'Ice', 'Steel'], '256%': ['Grass', 'Water']}","['Rock Throw', 'Tackle', 'Heavy Slam', 'Sand Tomb', 'Stone Edge', 'Iron Head', 'Rock Slide']"
096,Drowzee,Psychic,,Kanto,89,136,50%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}","['Confusion', 'Pound', 'Psybeam', 'Psychic', 'Psyshock']"
097,Hypno,Psychic,,Kanto,144,193,20%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}","['Confusion', 'Zen Headbutt', 'Fire Punch', 'Focus Blast', 'Future Sight', 'Ice Punch', 'Psychic', 'Shadow Ball', 'Thunder Punch', 'Psyshock']"
098,Krabby,Water,,Kanto,181,124,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Bubble', 'Mud Shot', 'Bubble Beam', 'Vise Grip', 'Water Pulse']"
099,Kingler,Water,,Kanto,240,181,20%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Bubble', 'Metal Claw', 'Mud Shot', 'Crabhammer', 'Vise Grip', 'X-Scissor', 'Water Pulse']"
100,Voltorb,Electric,,Kanto,109,111,50%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},"['Spark', 'Tackle', 'Discharge', 'Gyro Ball', 'Thunderbolt', 'Signal Beam', 'Charge Beam', 'Tackle', 'Energy Ball', 'Swift', 'Thunderbolt']"
101,Electrode,Electric,,Kanto,173,173,20%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},"['Spark', 'Volt Switch', 'Tackle', 'Discharge', 'Foul Play', 'Hyper Beam', 'Thunderbolt', 'Tackle', 'Thunder Shock', 'Energy Ball', 'Swift', 'Wild Charge']"
102,Exeggcute,Grass,Psychic,Kanto,107,125,50%,"{'62.5%': ['Electric', 'Fighting', 'Grass', 'Ground', 'Psychic', 'Water']}","{'160%': ['Dark', 'Fire', 'Flying', 'Ghost', 'Ice', 'Poison'], '256%': ['Bug']}","['Bullet Seed', 'Confusion', 'Ancient Power', 'Psychic', 'Seed Bomb']"
103,Exeggutor,Grass,Psychic,Kanto,233,149,20%,"{'62.5%': ['Electric', 'Fighting', 'Grass', 'Ground', 'Psychic', 'Water']}","{'160%': ['Dark', 'Fire', 'Flying', 'Ghost', 'Ice', 'Poison'], '256%': ['Bug']}","['Bullet Seed', 'Confusion', 'Extrasensory', 'Zen Headbutt', 'Psychic', 'Seed Bomb', 'Solar Beam', 'Bullet Seed', 'Dragon Tail', 'Dragon Pulse', 'Seed Bomb', 'Solar Beam', 'Draco Meteor']"
104,Cubone,Ground,,Kanto,90,144,40%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}","['Mud-Slap', 'Rock Smash', 'Bone Club', 'Bulldoze', 'Dig']"
105,Marowak,Ground,,Kanto,144,186,15%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}","['Mud-Slap', 'Rock Smash', 'Bone Club', 'Dig', 'Earthquake', 'Fire Spin', 'Hex', 'Rock Smash', 'Bone Club', 'Fire Blast', 'Flame Wheel', 'Shadow Ball', 'Shadow Bone']"
106,Hitmonlee,Fighting,,Kanto,224,181,20%,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}","['Low Kick', 'Rock Smash', 'Close Combat', 'Low Sweep', 'Stone Edge', 'Brick Break', 'Stomp']"
107,Hitmonchan,Fighting,,Kanto,193,197,20%,"{'62.5%': ['Bug', 'Dark', 'Rock']}","{'160%': ['Fairy', 'Flying', 'Psychic']}","['Bullet Punch', 'Counter', 'Rock Smash', 'Close Combat', 'Fire Punch', 'Ice Punch', 'Power-Up Punch', 'Thunder Punch', 'Brick Break']"
108,Lickitung,Normal,,Kanto,108,137,20%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Lick', 'Zen Headbutt', 'Hyper Beam', 'Power Whip', 'Stomp', 'Body Slam']"
109,Koffing,Poison,,Kanto,119,141,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}","['Infestation', 'Tackle', 'Acid', 'Dark Pulse', 'Sludge', 'Sludge Bomb']"
110,Weezing,Poison,,Kanto,174,197,20%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}","['Infestation', 'Tackle', 'Acid', 'Dark Pulse', 'Shadow Ball', 'Sludge Bomb', 'Thunderbolt', 'Tackle', 'Hyper Beam', 'Overheat', 'Play Rough', 'Sludge']"
111,Rhyhorn,Ground,Rock,Kanto,140,127,50%,"{'62.5%': ['Fire', 'Flying', 'Normal', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Fighting', 'Ground', 'Ice', 'Steel'], '256%': ['Grass', 'Water']}","['Mud-Slap', 'Rock Smash', 'Bulldoze', 'Horn Attack', 'Stomp']"
112,Rhydon,Ground,Rock,Kanto,222,171,5%,"{'62.5%': ['Fire', 'Flying', 'Normal', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Fighting', 'Ground', 'Ice', 'Steel'], '256%': ['Grass', 'Water']}","['Mud-Slap', 'Rock Smash', 'Earthquake', 'Stone Edge', 'Surf', 'Megahorn']"
113,Chansey,Normal,,Kanto,60,128,20%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Pound', 'Zen Headbutt', 'Dazzling Gleam', 'Hyper Beam', 'Psychic', 'Psybeam']"
114,Tangela,Grass,,Kanto,183,169,40%,"{'62.5%': ['Electric', 'Grass', 'Ground', 'Water']}","{'160%': ['Bug', 'Fire', 'Flying', 'Ice', 'Poison']}","['Infestation', 'Vine Whip', 'Grass Knot', 'Sludge Bomb', 'Solar Beam', 'Power Whip']"
115,Kangaskhan,Normal,,Kanto,181,165,20%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Low Kick', 'Mud-Slap', 'Crunch', 'Earthquake', 'Outrage', 'Power-Up Punch', 'Brick Break', 'Stomp']"
116,Horsea,Water,,Kanto,129,103,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Bubble', 'Water Gun', 'Bubble Beam', 'Dragon Pulse', 'Flash Cannon']"
117,Seadra,Water,,Kanto,187,156,20%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Dragon Breath', 'Water Gun', 'Aurora Beam', 'Dragon Pulse', 'Hydro Pump', 'Blizzard']"
118,Goldeen,Water,,Kanto,123,110,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Mud Shot', 'Peck', 'Aqua Tail', 'Horn Attack', 'Water Pulse']"
119,Seaking,Water,,Kanto,175,147,20%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Peck', 'Waterfall', 'Poison Jab', 'Ice Beam', 'Megahorn', 'Water Pulse', 'Drill Run', 'Icy Wind']"
120,Staryu,Water,,Kanto,137,112,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Tackle', 'Water Gun', 'Quick Attack', 'Bubble Beam', 'Power Gem', 'Swift']"
121,Starmie,Water,Psychic,Kanto,210,184,20%,"{'62.5%': ['Fighting', 'Fire', 'Ice', 'Psychic', 'Steel', 'Water']}","{'160%': ['Bug', 'Dark', 'Electric', 'Ghost', 'Grass']}","['Hidden Power', 'Water Gun', 'Tackle', 'Quick Attack', 'Hydro Pump', 'Ice Beam', 'Power Gem', 'Psychic', 'Thunder', 'Psybeam']"
122,Mr. Mime,Psychic,Fairy,Kanto,192,205,30%,"{'62.5%': ['Psychic'], '39%': ['Dragon', 'Fighting']}","{'160%': ['Ghost', 'Poison', 'Steel']}","['Confusion', 'Zen Headbutt', 'Psybeam', 'Psychic', 'Shadow Ball', 'Confusion', 'Zen Headbutt', 'Ice Punch', 'Psybeam', 'Psychic']"
123,Scyther,Bug,Flying,Kanto,218,170,30%,"{'62.5%': ['Bug'], '39%': ['Fighting', 'Grass'], '24%': ['Ground']}","{'160%': ['Electric', 'Fire', 'Flying', 'Ice'], '256%': ['Rock']}","['Air Slash', 'Fury Cutter', 'Steel Wing', 'Aerial Ace', 'Night Slash', 'X-Scissor', 'Bug Buzz']"
124,Jynx,Ice,Psychic,Kanto,223,151,30%,"{'62.5%': ['Ice', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Fire', 'Ghost', 'Rock', 'Steel']}","['Confusion', 'Frost Breath', 'Pound', 'Avalanche', 'Draining Kiss', 'Focus Blast', 'Psyshock', 'Ice Punch']"
125,Electabuzz,Electric,,Kanto,198,158,20%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},"['Low Kick', 'Thunder Shock', 'Thunder', 'Thunder Punch', 'Thunderbolt']"
126,Magmar,Fire,,Kanto,206,154,20%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Ember', 'Karate Chop', 'Fire Blast', 'Fire Punch', 'Flamethrower']"
127,Pinsir,Bug,,Kanto,238,182,30%,"{'62.5%': ['Fighting', 'Grass', 'Ground']}","{'160%': ['Fire', 'Flying', 'Rock']}","['Bug Bite', 'Fury Cutter', 'Rock Smash', 'Close Combat', 'Superpower', 'Vise Grip', 'X-Scissor', 'Submission']"
128,Tauros,Normal,,Kanto,198,183,30%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Tackle', 'Zen Headbutt', 'Earthquake', 'Horn Attack', 'Iron Head']"
129,Magikarp,Water,,Kanto,29,85,70%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Splash', 'Struggle']"
130,Gyarados,Water,Flying,Kanto,237,186,10%,"{'62.5%': ['Bug', 'Fighting', 'Fire', 'Steel', 'Water'], '39%': ['Ground']}","{'160%': ['Rock'], '256%': ['Electric']}","['Bite', 'Dragon Breath', 'Waterfall', 'Dragon Tail', 'Crunch', 'Hydro Pump', 'Outrage', 'Twister', 'Aqua Tail', 'Dragon Pulse']"
131,Lapras,Water,Ice,Kanto,165,174,5%,"{'62.5%': ['Water'], '39%': ['Ice']}","{'160%': ['Electric', 'Fighting', 'Grass', 'Rock']}","['Frost Breath', 'Water Gun', 'Ice Shard', 'Blizzard', 'Hydro Pump', 'Skull Bash', 'Surf', 'Dragon Pulse', 'Ice Beam']"
132,Ditto,Normal,,Kanto,91,91,20%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Transform', 'Struggle']"
133,Eevee,Normal,,Kanto,104,114,40%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Quick Attack', 'Tackle', 'Dig', 'Swift', 'Body Slam', 'Last Resort']"
134,Vaporeon,Water,,Kanto,205,161,12.5%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Water Gun', 'Aqua Tail', 'Hydro Pump', 'Water Pulse', 'Last Resort', 'Scald']"
135,Jolteon,Electric,,Kanto,232,182,12.5%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},"['Thunder Shock', 'Volt Switch', 'Discharge', 'Thunder', 'Thunderbolt', 'Last Resort', 'Zap Cannon']"
136,Flareon,Fire,,Kanto,246,179,12.5%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Ember', 'Fire Spin', 'Fire Blast', 'Flamethrower', 'Overheat', 'Heat Wave', 'Last Resort', 'Superpower']"
137,Porygon,Normal,,Kanto,153,136,40%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Charge Beam', 'Hidden Power', 'Tackle', 'Zen Headbutt', 'Quick Attack', 'Hyper Beam', 'Solar Beam', 'Zap Cannon', 'Discharge', 'Psybeam', 'Signal Beam']"
138,Omanyte,Rock,Water,Kanto,155,153,40%,"{'62.5%': ['Flying', 'Ice', 'Normal', 'Poison'], '39%': ['Fire']}","{'160%': ['Electric', 'Fighting', 'Ground'], '256%': ['Grass']}","['Mud Shot', 'Water Gun', 'Ancient Power', 'Bubble Beam', 'Rock Blast', 'Brine', 'Rock Tomb']"
139,Omastar,Rock,Water,Kanto,207,201,15%,"{'62.5%': ['Flying', 'Ice', 'Normal', 'Poison'], '39%': ['Fire']}","{'160%': ['Electric', 'Fighting', 'Ground'], '256%': ['Grass']}","['Mud Shot', 'Water Gun', 'Rock Throw', 'Ancient Power', 'Hydro Pump', 'Rock Blast', 'Rock Slide']"
140,Kabuto,Rock,Water,Kanto,148,140,40%,"{'62.5%': ['Flying', 'Ice', 'Normal', 'Poison'], '39%': ['Fire']}","{'160%': ['Electric', 'Fighting', 'Ground'], '256%': ['Grass']}","['Mud Shot', 'Scratch', 'Ancient Power', 'Aqua Jet', 'Rock Tomb']"
141,Kabutops,Rock,Water,Kanto,220,186,15%,"{'62.5%': ['Flying', 'Ice', 'Normal', 'Poison'], '39%': ['Fire']}","{'160%': ['Electric', 'Fighting', 'Ground'], '256%': ['Grass']}","['Mud Shot', 'Rock Smash', 'Waterfall', 'Fury Cutter', 'Ancient Power', 'Stone Edge', 'Water Pulse']"
142,Aerodactyl,Rock,Flying,Kanto,221,159,20%,"{'62.5%': ['Bug', 'Fire', 'Flying', 'Ground', 'Normal', 'Poison']}","{'160%': ['Electric', 'Ice', 'Rock', 'Steel', 'Water']}","['Bite', 'Rock Throw', 'Steel Wing', 'Ancient Power', 'Earth Power', 'Hyper Beam', 'Iron Head', 'Rock Slide']"
143,Snorlax,Normal,,Kanto,190,169,5%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Lick', 'Zen Headbutt', 'Yawn', 'Body Slam', 'Earthquake', 'Heavy Slam', 'Hyper Beam', 'Outrage', 'Skull Bash', 'Superpower']"
144,Articuno,Ice,Flying,Kanto,192,236,3%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ground']}","{'160%': ['Electric', 'Fire', 'Steel'], '256%': ['Rock']}","['Frost Breath', 'Ice Shard', 'Ancient Power', 'Blizzard', 'Ice Beam', 'Icy Wind', 'Hurricane']"
145,Zapdos,Electric,Flying,Kanto,253,185,3%,"{'62.5%': ['Bug', 'Fighting', 'Flying', 'Grass', 'Ground', 'Steel']}","{'160%': ['Ice', 'Rock']}","['Charge Beam', 'Thunder Shock', 'Ancient Power', 'Drill Peck', 'Thunder', 'Thunderbolt', 'Zap Cannon']"
146,Moltres,Fire,Flying,Kanto,251,181,3%,"{'62.5%': ['Fairy', 'Fighting', 'Fire', 'Ground', 'Steel'], '39%': ['Bug', 'Grass']}","{'160%': ['Electric', 'Water'], '256%': ['Rock']}","['Fire Spin', 'Wing Attack', 'Ancient Power', 'Fire Blast', 'Heat Wave', 'Overheat', 'Sky Attack']"
147,Dratini,Dragon,,Kanto,119,91,40%,"{'62.5%': ['Electric', 'Fire', 'Grass', 'Water']}","{'160%': ['Dragon', 'Fairy', 'Ice']}","['Dragon Breath', 'Iron Tail', 'Aqua Tail', 'Twister', 'Wrap']"
148,Dragonair,Dragon,,Kanto,163,135,10%,"{'62.5%': ['Electric', 'Fire', 'Grass', 'Water']}","{'160%': ['Dragon', 'Fairy', 'Ice']}","['Dragon Breath', 'Iron Tail', 'Aqua Tail', 'Dragon Pulse', 'Wrap']"
149,Dragonite,Dragon,Flying,Kanto,263,198,5%,"{'62.5%': ['Bug', 'Fighting', 'Fire', 'Water'], '39%': ['Grass', 'Ground']}","{'160%': ['Dragon', 'Fairy', 'Rock'], '256%': ['Ice']}","['Dragon Breath', 'Dragon Tail', 'Steel Wing', 'Dragon Claw', 'Hurricane', 'Hyper Beam', 'Outrage', 'Draco Meteor', 'Dragon Pulse']"
150,Mewtwo,Psychic,,Kanto,300,182,2%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}","['Confusion', 'Psycho Cut', 'Flamethrower', 'Focus Blast', 'Ice Beam', 'Psychic', 'Thunderbolt', 'Hyper Beam', 'Psystrike', 'Shadow Ball', 'Confusion', 'Iron Tail', 'Dynamic Punch', 'Earthquake', 'Future Sight', 'Rock Slide', 'Psystrike']"
151,Mew,Psychic,,Kanto,210,210,N/A,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}","['Charge Beam', 'Cut', 'Dragon Tail', 'Frost Breath', 'Infestation', 'Poison Jab', 'Pound', 'Rock Smash', 'Shadow Claw', 'Snarl', 'Steel Wing', 'Struggle Bug', 'Volt Switch', 'Waterfall', 'Ancient Power', 'Blizzard', 'Bulldoze', 'Dark Pulse', 'Dazzling Gleam', 'Dragon Claw', 'Energy Ball', 'Flame Charge', 'Flash Cannon', 'Focus Blast', 'Grass Knot', 'Gyro Ball', 'Hyper Beam', 'Ice Beam', 'Low Sweep', 'Overheat', 'Psychic', 'Psyshock', 'Rock Slide', 'Solar Beam', 'Stone Edge', 'Surf', 'Thunder', 'Thunderbolt', 'Wild Charge']"
152,Chikorita,Grass,,Johto,92,122,20%,"{'62.5%': ['Electric', 'Grass', 'Ground', 'Water']}","{'160%': ['Bug', 'Fire', 'Flying', 'Ice', 'Poison']}","['Tackle', 'Vine Whip', 'Body Slam', 'Energy Ball', 'Grass Knot']"
153,Bayleef,Grass,,Johto,122,155,12.5%,"{'62.5%': ['Electric', 'Grass', 'Ground', 'Water']}","{'160%': ['Bug', 'Fire', 'Flying', 'Ice', 'Poison']}","['Razor Leaf', 'Tackle', 'Ancient Power', 'Energy Ball', 'Grass Knot']"
154,Meganium,Grass,,Johto,168,202,5%,"{'62.5%': ['Electric', 'Grass', 'Ground', 'Water']}","{'160%': ['Bug', 'Fire', 'Flying', 'Ice', 'Poison']}","['Razor Leaf', 'Vine Whip', 'Earthquake', 'Petal Blizzard', 'Solar Beam', 'Frenzy Plant']"
155,Cyndaquil,Fire,,Johto,116,93,20%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Ember', 'Tackle', 'Flame Charge', 'Flamethrower', 'Swift']"
156,Quilava,Fire,,Johto,158,126,12.5%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Ember', 'Tackle', 'Dig', 'Flame Charge', 'Flamethrower']"
157,Typhlosion,Fire,,Johto,223,173,5%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}","['Ember', 'Incinerate', 'Shadow Claw', 'Fire Blast', 'Overheat', 'Solar Beam', 'Blast Burn']"
158,Totodile,Water,,Johto,117,109,20%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Scratch', 'Water Gun', 'Aqua Jet', 'Crunch', 'Water Pulse']"
159,Croconaw,Water,,Johto,150,142,12.5%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Scratch', 'Water Gun', 'Crunch', 'Ice Punch', 'Water Pulse']"
160,Feraligatr,Water,,Johto,205,188,5%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}","['Bite', 'Ice Fang', 'Waterfall', 'Water Gun', 'Crunch', 'Hydro Pump', 'Ice Beam', 'Hydro Cannon']"
161,Sentret,Normal,,Johto,79,73,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Quick Attack', 'Scratch', 'Brick Break', 'Dig', 'Grass Knot']"
162,Furret,Normal,,Johto,148,125,15%,{'39%': ['Ghost']},{'160%': ['Fighting']},"['Quick Attack', 'Sucker Punch', 'Brick Break', 'Dig', 'Hyper Beam']"
163,Hoothoot,Normal,Flying,Johto,67,88,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}","['Feint Attack', 'Peck', 'Aerial Ace', 'Night Shade', 'Sky Attack']"
164,Noctowl,Normal,Flying,Johto,145,156,15%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}","['Extrasensory', 'Wing Attack', 'Night Shade', 'Psychic', 'Shadow Ball', 'Sky Attack']"
165,Ledyba,Bug,Flying,Johto,72,118,50%,"{'62.5%': ['Bug'], '39%': ['Fighting', 'Grass'], '24%': ['Ground']}","{'160%': ['Electric', 'Fire', 'Flying', 'Ice'], '256%': ['Rock']}","['Bug Bite', 'Tackle', 'Aerial Ace', 'Silver Wind', 'Swift']"
166,Ledian,Bug,Flying,Johto,107,179,15%,"{'62.5%': ['Bug'], '39%': ['Fighting', 'Grass'], '24%': ['Ground']}","{'160%': ['Electric', 'Fire', 'Flying', 'Ice'], '256%': ['Rock']}","['Bug Bite', 'Struggle Bug', 'Aerial Ace', 'Bug Buzz', 'Silver Wind']"
167,Spinarak,Bug,Poison,Johto,105,73,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}","['Bug Bite', 'Poison Sting', 'Cross Poison', 'Night Slash', 'Signal Beam']"
168,Ariados,Bug,Poison,Johto,161,124,15%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}","['Infestation', 'Poison Sting', 'Cross Poison', 'Lunge', 'Megahorn', 'Shadow Sneak']"
169,Crobat,Poison,Flying,Johto,194,178,10%,"{'62.5%': ['Fairy', 'Ground', 'Poison'], '39%': ['Bug', 'Fighting', 'Grass']}","{'160%': ['Electric', 'Ice', 'Psychic', 'Rock']}","['Air Slash', 'Bite', 'Air Cutter', 'Cross Poison', 'Poison Fang', 'Shadow Ball', 'Sludge Bomb']"
170,Chinchou,Water,Electric,Johto,106,97,40%,"{'62.5%': ['Fire', 'Flying', 'Ice', 'Water'], '39%': ['Steel']}","{'160%': ['Grass', 'Ground']}","['Bubble', 'Spark', 'Bubble Beam', 'Thunderbolt', 'Water Pulse']"
171,Lanturn,Water,Electric,Johto,146,137,15%,"{'62.5%': ['Fire', 'Flying', 'Ice', 'Water'], '39%': ['Steel']}","{'160%': ['Grass', 'Ground']}","['Charge Beam', 'Spark', 'Water Gun', 'Hydro Pump', 'Thunder', 'Thunderbolt']"
172,Pichu,Electric,,Johto,77,53,N/A,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},"['Thunder Shock', 'Quick Attack', 'Disarming Voice', 'Thunder Punch', 'Thunderbolt']"
173,Cleffa,Fairy,,Johto,75,79,N/A,"{'62.5%': ['Bug', 'Dark', 'Fighting'], '39%': ['Dragon']}","{'160%': ['Poison', 'Steel']}","['Pound', 'Zen Headbutt', 'Grass Knot', 'Psyshock', 'Signal Beam', 'Body Slam', 'Psychic']"
174,Igglybuff,Normal,Fairy,Johto,69,32,N/A,"{'62.5%': ['Bug', 'Dark'], '39%': ['Dragon', 'Ghost']}","{'160%': ['Poison', 'Steel']}","['Feint Attack', 'Pound', 'Psychic', 'Shadow Ball', 'Wild Charge', 'Body Slam']"
175,Togepi,Fairy,,Johto,67,116,N/A,"{'62.5%': ['Bug', 'Dark', 'Fighting'], '39%': ['Dragon']}","{'160%': ['Poison', 'Steel']}","['Hidden Power', 'Peck', 'Zen Headbutt', 'Ancient Power', 'Dazzling Gleam', 'Psyshock']"
176,Togetic,Fairy,Flying,Johto,139,181,5%,"{'62.5%': ['Dark', 'Grass'], '39%': ['Bug', 'Dragon', 'Fighting', 'Ground']}","{'160%': ['Electric', 'Ice', 'Poison', 'Rock', 'Steel']}","['Extrasensory', 'Hidden Power', 'Steel Wing', 'Zen Headbutt', 'Aerial Ace', 'Ancient Power', 'Dazzling Gleam']"
177,Natu,Psychic,Flying,Johto,134,89,40%,"{'62.5%': ['Grass', 'Psychic'], '39%': ['Fighting', 'Ground']}","{'160%': ['Dark', 'Electric', 'Ghost', 'Ice', 'Rock']}","['Peck', 'Quick Attack', 'Drill Peck', 'Night Shade', 'Psyshock']"
